_id,INSPECT_ID,SR_NUM,BEG_DATE,END_DATE,STATUS
15282,173170,HCE-20171109-4971,2018-01-05T00:00:00,2018-01-08T00:00:00,
15283,173235,HCE-20180108-1454,2018-01-09T00:00:00,2018-01-10T00:00:00,
15284,173358,HCE-20180109-2214,2018-01-17T00:00:00,2018-01-17T00:00:00,
15285,173368,HCE-20180111-3581,2018-01-17T00:00:00,2018-01-18T00:00:00,
15286,173537,HCE-20180129-3729,2018-01-30T00:00:00,2018-01-30T00:00:00,
15287,173534,HCE-20170817-4109,2018-01-24T00:00:00,2018-01-30T00:00:00,
15288,173505,HCE-20170622-3457,2018-01-26T00:00:00,2018-01-26T00:00:00,
15289,173280,HCE-20170914-4430,2018-01-10T00:00:00,2018-01-11T00:00:00,
15290,173544,HCE-20170501-2512,2018-01-31T00:00:00,2018-01-31T00:00:00,
15291,173533,HCE-20171025-4845,2018-01-29T00:00:00,2018-01-30T00:00:00,
15292,173312,HCE-20170808-3982,2018-01-10T00:00:00,2018-01-16T00:00:00,
15293,173310,HCE-20171108-4963,2018-01-12T00:00:00,2018-01-16T00:00:00,NO CAUSE FOR ACTION INSPECTION
15294,173297,HCE-20171114-4998,2018-01-11T00:00:00,2018-01-16T00:00:00,
15295,173139,HCE-20170906-4323,2018-01-05T00:00:00,2018-01-05T00:00:00,
15296,173141,HCE-20170731-3897,2018-01-05T00:00:00,2018-01-05T00:00:00,
15297,173432,HCE-20171018-4769,2018-01-12T00:00:00,2018-01-23T00:00:00,
15298,173106,HCE-20171120-5041,2018-01-03T00:00:00,2018-01-04T00:00:00,
15299,173504,HCE-20170622-3457,2018-01-26T00:00:00,2018-01-26T00:00:00,
15300,173424,HCE-20171222-5255,2018-01-22T00:00:00,2018-01-23T00:00:00,
15301,173352,HCE-20180116-3624,2018-01-16T00:00:00,2018-01-17T00:00:00,
15302,173226,HCE-20170526-3182,2018-01-05T00:00:00,2018-01-10T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15303,173225,HCE-20170526-3182,2018-12-28T00:00:00,2018-01-10T00:00:00,
15304,173286,HCE-20171219-5238,2018-01-12T00:00:00,2018-01-12T00:00:00,
15305,173318,HCE-20180105-1072,2018-01-10T00:00:00,2018-01-16T00:00:00,
15306,173071,HCE-20180103-1024,2018-01-02T00:00:00,2018-01-03T00:00:00,
15307,173135,HCE-20171228-5283,2018-01-04T00:00:00,2018-01-05T00:00:00,
15308,173107,HCE-20171219-5238,2018-01-03T00:00:00,2018-01-04T00:00:00,
15309,173184,HCE-20180102-1009,2018-01-08T00:00:00,2018-01-09T00:00:00,
15310,173415,HCE-20180111-3582,2018-01-22T00:00:00,2018-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15311,173267,HCE-20171204-5107,2018-01-10T00:00:00,2018-01-11T00:00:00,
15312,173351,HCE-20170620-3427,2018-01-08T00:00:00,2018-01-17T00:00:00,
15313,173520,HCE-20180122-3680,2018-01-25T00:00:00,2018-01-29T00:00:00,
15314,173497,HCE-20180116-3611,2018-01-26T00:00:00,2018-01-26T00:00:00,
15315,173224,HCE-20170928-4597,2018-01-03T00:00:00,2018-01-10T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15316,173531,HCE-20180103-1027,2018-01-24T00:00:00,2018-01-30T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15317,173066,HCE-20170620-3412,2018-01-02T00:00:00,2018-01-03T00:00:00,
15318,173515,HCE-20170821-4157,2018-01-24T00:00:00,2018-01-29T00:00:00,
15319,173325,HCE-20171212-5183,2018-01-12T00:00:00,2018-01-16T00:00:00,
15320,173244,HCE-20171128-5077,2018-01-09T00:00:00,2018-01-10T00:00:00,
15321,173167,HCE-20171023-4812,2018-01-05T00:00:00,2018-01-08T00:00:00,
15322,173545,HCE-20171207-5151,2018-01-30T00:00:00,2018-01-31T00:00:00,
15323,173513,HCE-20171218-5227,2018-01-26T00:00:00,2018-01-29T00:00:00,
15324,173311,HCE-20171115-5012,2018-01-12T00:00:00,2018-01-16T00:00:00,NO CAUSE FOR ACTION INSPECTION
15325,173298,HCE-20171011-4680,2018-01-11T00:00:00,2018-01-16T00:00:00,
15326,173134,HCE-20170124-1790,2018-01-05T00:00:00,2018-01-05T00:00:00,
15327,173443,HCE-20180102-1016,2018-01-23T00:00:00,2018-01-24T00:00:00,NO CAUSE FOR ACTION INSPECTION
15328,173428,HCE-20171017-4754,2018-01-12T00:00:00,2018-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15329,173426,HCE-20171017-4750,2018-01-12T00:00:00,2018-01-23T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15330,173420,HCE-20171108-4966,2018-01-17T00:00:00,2018-01-23T00:00:00,
15331,173356,HCE-20170511-2640,2018-01-17T00:00:00,2018-01-17T00:00:00,
15332,173303,HCE-20171222-5252,2018-01-16T00:00:00,2018-01-16T00:00:00,
15333,173279,HCE-20171129-5087,2018-01-11T00:00:00,2018-01-11T00:00:00,
15334,173197,HCE-20171012-4698,2018-01-08T00:00:00,2018-01-09T00:00:00,
15335,173125,HCE-20170921-4526,2018-01-04T00:00:00,2018-01-04T00:00:00,
15336,173509,HCE-20170906-4326,2018-01-26T00:00:00,2018-01-26T00:00:00,
15337,173164,HCE-20170823-4189,2018-01-03T00:00:00,2018-01-08T00:00:00,
15338,173519,HCE-20171204-5117,2018-01-26T00:00:00,2018-01-29T00:00:00,NO CAUSE FOR ACTION INSPECTION
15339,173385,HCE-20180102-1009,2018-01-18T00:00:00,2018-01-19T00:00:00,
15340,173189,HCE-20180102-1000,2018-01-08T00:00:00,2018-01-09T00:00:00,
15341,173429,HCE-20180122-3675,2018-01-22T00:00:00,2018-01-23T00:00:00,
15342,173133,HCE-20180102-1000,2018-01-04T00:00:00,2018-01-05T00:00:00,
15343,173056,HCE-20171215-5215,2018-01-02T00:00:00,2018-01-02T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15344,173387,HCE-20171205-5123,2018-01-18T00:00:00,2018-01-19T00:00:00,
15345,173203,HCE-20180104-1044,2018-01-08T00:00:00,2018-01-09T00:00:00,NO CAUSE FOR ACTION INSPECTION
